,Melodic_Interval_Histogram_0,Melodic_Interval_Histogram_1,Melodic_Interval_Histogram_2,Melodic_Interval_Histogram_3,Melodic_Interval_Histogram_4,Melodic_Interval_Histogram_5,Melodic_Interval_Histogram_6,Melodic_Interval_Histogram_7,Melodic_Interval_Histogram_8,Melodic_Interval_Histogram_9,Melodic_Interval_Histogram_10,Melodic_Interval_Histogram_11,Melodic_Interval_Histogram_12,Melodic_Interval_Histogram_13,Melodic_Interval_Histogram_14,Melodic_Interval_Histogram_15,Melodic_Interval_Histogram_16,Melodic_Interval_Histogram_17,Melodic_Interval_Histogram_18,Melodic_Interval_Histogram_19,Melodic_Interval_Histogram_20,Melodic_Interval_Histogram_21,Melodic_Interval_Histogram_22,Melodic_Interval_Histogram_23,Melodic_Interval_Histogram_24,Melodic_Interval_Histogram_25,Melodic_Interval_Histogram_26,Melodic_Interval_Histogram_27,Melodic_Interval_Histogram_28,Melodic_Interval_Histogram_29,Melodic_Interval_Histogram_30,Melodic_Interval_Histogram_31,Melodic_Interval_Histogram_32,Melodic_Interval_Histogram_33,Melodic_Interval_Histogram_34,Melodic_Interval_Histogram_35,Melodic_Interval_Histogram_36,Melodic_Interval_Histogram_37,Melodic_Interval_Histogram_38,Melodic_Interval_Histogram_39,Melodic_Interval_Histogram_40,Melodic_Interval_Histogram_41,Melodic_Interval_Histogram_42,Melodic_Interval_Histogram_43,Melodic_Interval_Histogram_44,Melodic_Interval_Histogram_45,Melodic_Interval_Histogram_46,Melodic_Interval_Histogram_47,Melodic_Interval_Histogram_48,Melodic_Interval_Histogram_49,Melodic_Interval_Histogram_50,Melodic_Interval_Histogram_51,Melodic_Interval_Histogram_52,Melodic_Interval_Histogram_53,Melodic_Interval_Histogram_54,Melodic_Interval_Histogram_55,Melodic_Interval_Histogram_56,Melodic_Interval_Histogram_57,Melodic_Interval_Histogram_58,Melodic_Interval_Histogram_59,Melodic_Interval_Histogram_60,Melodic_Interval_Histogram_61,Melodic_Interval_Histogram_62,Melodic_Interval_Histogram_63,Melodic_Interval_Histogram_64,Melodic_Interval_Histogram_65,Melodic_Interval_Histogram_66,Melodic_Interval_Histogram_67,Melodic_Interval_Histogram_68,Melodic_Interval_Histogram_69,Melodic_Interval_Histogram_70,Melodic_Interval_Histogram_71,Melodic_Interval_Histogram_72,Melodic_Interval_Histogram_73,Melodic_Interval_Histogram_74,Melodic_Interval_Histogram_75,Melodic_Interval_Histogram_76,Melodic_Interval_Histogram_77,Melodic_Interval_Histogram_78,Melodic_Interval_Histogram_79,Melodic_Interval_Histogram_80,Melodic_Interval_Histogram_81,Melodic_Interval_Histogram_82,Melodic_Interval_Histogram_83,Melodic_Interval_Histogram_84,Melodic_Interval_Histogram_85,Melodic_Interval_Histogram_86,Melodic_Interval_Histogram_87,Melodic_Interval_Histogram_88,Melodic_Interval_Histogram_89,Melodic_Interval_Histogram_90,Melodic_Interval_Histogram_91,Melodic_Interval_Histogram_92,Melodic_Interval_Histogram_93,Melodic_Interval_Histogram_94,Melodic_Interval_Histogram_95,Melodic_Interval_Histogram_96,Melodic_Interval_Histogram_97,Melodic_Interval_Histogram_98,Melodic_Interval_Histogram_99,Melodic_Interval_Histogram_100,Melodic_Interval_Histogram_101,Melodic_Interval_Histogram_102,Melodic_Interval_Histogram_103,Melodic_Interval_Histogram_104,Melodic_Interval_Histogram_105,Melodic_Interval_Histogram_106,Melodic_Interval_Histogram_107,Melodic_Interval_Histogram_108,Melodic_Interval_Histogram_109,Melodic_Interval_Histogram_110,Melodic_Interval_Histogram_111,Melodic_Interval_Histogram_112,Melodic_Interval_Histogram_113,Melodic_Interval_Histogram_114,Melodic_Interval_Histogram_115,Melodic_Interval_Histogram_116,Melodic_Interval_Histogram_117,Melodic_Interval_Histogram_118,Melodic_Interval_Histogram_119,Melodic_Interval_Histogram_120,Melodic_Interval_Histogram_121,Melodic_Interval_Histogram_122,Melodic_Interval_Histogram_123,Melodic_Interval_Histogram_124,Melodic_Interval_Histogram_125,Melodic_Interval_Histogram_126,Melodic_Interval_Histogram_127,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,year,composer,type
Pitt-Payne/Beautiful Spooney Isle.mid,0.025, 0.2938, 0.2703, 0.1141, 0.08125, 0.1031, 0.02187, 0.04688, 0.0, 0.03438, 0.00625, 0.0, 0.003125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.886, 4.0, 1.0, 0.2938, 0.9202, 0.2766, 0.025, 0.2938, 0.5641, 0.1953, 0.1031, 0.02187, 0.04688, 0.03438, 0.00625, 0.003125, 0.0, 1.404, 0.0, 0.4872, 1.608, 4.729, 5.124,early,others,S
Pitt-Payne/Cotton States Rag.mid,0.06723, 0.2874, 0.3076, 0.07395, 0.05714, 0.07227, 0.0, 0.04034, 0.03025, 0.01345, 0.0, 0.0, 0.02353, 0.006723, 0.0, 0.01008, 0.01008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.042, 2.0, 1.0, 0.3076, 0.9344, 0.2824, 0.06723, 0.2874, 0.595, 0.1311, 0.07227, 0.0, 0.04034, 0.0437, 0.0, 0.02353, 0.02689, 1.294, 0.0, 0.5369, 2.056, 6.659, 6.066,early,others,R
Pitt-Payne/Come Along To Honeymoon Land.mid,0.04482, 0.1082, 0.3308, 0.1793, 0.08346, 0.1453, 0.0, 0.07419, 0.003091, 0.0, 0.0, 0.0, 0.01236, 0.003091, 0.006182, 0.0, 0.0, 0.0, 0.0, 0.009274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.363, 4.0, 1.0, 0.3308, 0.5421, 0.3941, 0.04482, 0.1082, 0.4389, 0.2628, 0.1453, 0.0, 0.07419, 0.003091, 0.0, 0.01236, 0.01855, 2.148, 0.0, 0.4887, 2.088, 7.311, 5.208,early,others,S
Pitt-Payne/At the Panama Pacific Fair .mid,0.0365, 0.3431, 0.3485, 0.08577, 0.0365, 0.03285, 0.02555, 0.0219, 0.0146, 0.02737, 0.00365, 0.0, 0.01277, 0.0, 0.0, 0.0, 0.007299, 0.001825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.668, 2.0, 1.0, 0.3485, 0.9843, 0.2044, 0.0365, 0.3431, 0.6916, 0.1223, 0.03285, 0.02555, 0.0219, 0.04197, 0.00365, 0.01277, 0.01095, 2.35, 0.0, 0.5758, 1.886, 5.175, 4.473,early,others,S
Pitt-Payne/Dat's De Way To Spell Chicken.mid,0.1854, 0.1446, 0.2818, 0.1187, 0.05933, 0.07169, 0.009889, 0.03956, 0.04079, 0.04203, 0.0, 0.002472, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002472, 0.0, 0.0, 0.0, 0.001236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.807, 4.0, 2.0, 0.2818, 0.6579, 0.4054, 0.1854, 0.1446, 0.4265, 0.178, 0.07169, 0.009889, 0.03956, 0.08282, 0.002472, 0.0, 0.003708, 2.0, 0.0, 0.5599, 1.743, 5.955, 3.873,early,others,S
Pitt-Payne/Band! Band! Band!.mid,0.1444, 0.1413, 0.2508, 0.1185, 0.1216, 0.08815, 0.04103, 0.03951, 0.02432, 0.006079, 0.0, 0.0, 0.009119, 0.0, 0.01216, 0.0, 0.0, 0.00304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.029, 5.0, 2.0, 0.2508, 0.5758, 0.4331, 0.1444, 0.1413, 0.3921, 0.2401, 0.08815, 0.04103, 0.03951, 0.0304, 0.0, 0.009119, 0.0152, 0.975, 0.0, 0.5222, 1.518, 5.326, 3.928,early,others,S
Pitt-Payne/Belle Of Honolulu  The.mid,0.137, 0.1607, 0.1528, 0.1845, 0.08432, 0.2003, 0.007905, 0.01318, 0.01845, 0.02108, 0.003953, 0.0, 0.00527, 0.0, 0.00527, 0.00527, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 3.091, 5.0, 2.0, 0.2003, 0.9211, 0.4335, 0.137, 0.1607, 0.3136, 0.2688, 0.2003, 0.007905, 0.01318, 0.03953, 0.003953, 0.00527, 0.01054, 2.188, 0.0, 0.4977, 1.479, 5.289, 4.39,early,others,S
Pitt-Payne/Dixie Kicks.mid,0.06238, 0.1853, 0.4348, 0.121, 0.08885, 0.05104, 0.0, 0.0189, 0.009452, 0.01134, 0.00189, 0.0, 0.01134, 0.0, 0.0, 0.00189, 0.0, 0.0, 0.0, 0.00189, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.558, 3.0, 1.0, 0.4348, 0.4261, 0.3062, 0.06238, 0.1853, 0.62, 0.2098, 0.05104, 0.0, 0.0189, 0.02079, 0.00189, 0.01134, 0.003781, 1.362, 0.0, 0.4778, 2.214, 5.933, 5.075,early,others,R
Pitt-Payne/At Coontown's Picnic.mid,0.1564, 0.06342, 0.3869, 0.1945, 0.05074, 0.07611, 0.0, 0.02326, 0.0, 0.01057, 0.004228, 0.0, 0.02537, 0.0, 0.0, 0.0, 0.0, 0.008457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.753, 3.0, 1.0, 0.3869, 0.5027, 0.4545, 0.1564, 0.06342, 0.4503, 0.2452, 0.07611, 0.0, 0.02326, 0.01057, 0.004228, 0.02537, 0.008457, 3.833, 0.0, 0.4787, 2.111, 6.825, 5.335,early,others,M
Pitt-Payne/Catch of Tokio  The.mid,0.06676, 0.4545, 0.2045, 0.04972, 0.02557, 0.06534, 0.01136, 0.03835, 0.02983, 0.02131, 0.00142, 0.0, 0.007102, 0.0, 0.01136, 0.002841, 0.0, 0.004261, 0.0, 0.002841, 0.0, 0.002841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.696, 2.0, 1.0, 0.4545, 0.45, 0.1918, 0.06676, 0.4545, 0.6591, 0.07528, 0.06534, 0.01136, 0.03835, 0.05114, 0.00142, 0.007102, 0.02415, 1.944, 0.0, 0.5464, 1.557, 4.469, 4.802,early,others,N
Pitt-Payne/At A Georgia Campmeeting.mid,0.1405, 0.1002, 0.3603, 0.1405, 0.08239, 0.09208, 0.01292, 0.02585, 0.003231, 0.0, 0.0, 0.004847, 0.021, 0.0, 0.0, 0.0, 0.0, 0.01131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004847, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.931, 5.0, 2.0, 0.3603, 0.3901, 0.4152, 0.1405, 0.1002, 0.4604, 0.2229, 0.09208, 0.01292, 0.02585, 0.003231, 0.004847, 0.021, 0.01616, 1.706, 0.0, 0.5432, 2.062, 6.953, 5.07,early,others,M
Pitt-Payne/Continental  The.mid,0.1455, 0.1667, 0.3042, 0.06878, 0.05556, 0.1296, 0.01323, 0.03175, 0.03175, 0.007937, 0.02646, 0.002646, 0.01058, 0.0, 0.005291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.974, 4.0, 1.0, 0.3042, 0.5478, 0.3413, 0.1455, 0.1667, 0.4709, 0.1243, 0.1296, 0.01323, 0.03175, 0.03968, 0.0291, 0.01058, 0.005291, 1.238, 0.0, 0.4489, 1.56, 5.396, 5.231,late,others,S
Pitt-Payne/Any Rags?.mid,0.265, 0.1612, 0.235, 0.1066, 0.07104, 0.09836, 0.0, 0.01366, 0.0, 0.02459, 0.01093, 0.0, 0.01093, 0.0, 0.002732, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.322, 5.0, 2.0, 0.265, 0.8866, 0.4781, 0.265, 0.1612, 0.3962, 0.1776, 0.09836, 0.0, 0.01366, 0.02459, 0.01093, 0.01093, 0.002732, 1.5, 0.0, 0.4572, 1.805, 5.658, 3.769,early,others,R
Pitt-Payne/Butcher Rag.mid,0.142, 0.265, 0.2461, 0.1073, 0.03155, 0.0694, 0.01262, 0.02208, 0.02208, 0.009464, 0.01893, 0.006309, 0.009464, 0.0, 0.0, 0.0, 0.0, 0.006309, 0.0, 0.01893, 0.006309, 0.0, 0.006309, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.148, 4.0, 1.0, 0.265, 0.9286, 0.3375, 0.142, 0.265, 0.511, 0.1388, 0.0694, 0.01262, 0.02208, 0.03155, 0.02524, 0.009464, 0.03785, 3.4, 0.0, 0.5294, 1.6, 5.865, 4.093,early,others,R
